Year/Semester,Meeting #,Title,Prep Homework,Agenda Item Title,Agenda Item Details,To Do Item,Roadmap One-Line Description,Content
11th Grade. 2nd Sem.,8,Major Research & Course Selection,1. Research suggested college list                   2. Research & review major research             3. Fill in major questions for homework,Review Research,Review research. Continue to weave in major conversation as student completes research ,FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 6,"Your counselor will review your list of colleges, discuss your current academic interests, and recommend a 12th grade course schedule that will best help you reach your goals.  ",Podcast Ep. 6
,,,Fill in the Coursework section with all final grades from 9th-11th,12th Grade Course Planning,"1. Review courses for 12th and confirm.        2. Discuss how the planned courses aligns with any major choices (if engineering, what coursework; if certain colleges, what coursework, etc). ",,,
,,,,Express gratitude,Express gratitude to 1-2 favorite teachers,,,
,,,,,,,,
11th Grade. Summer.,9,College Visits & Letters of Recommendation,Read College Visit Guide,College Visits,1. Discuss college visits.                                     2. Make recommendations to the family based on the college list and provide resources to allow them to plan trips accordingly ,,"This meeting focuses on two important parts of your college application process—planning college visits, and securing strong letters of recommendation from the right teachers.",College Visit Guide. Letters of Recommendation FAQ. Which teachers should write your letters of recommendation? 
,,,1. Read Letters of Recommendation FAQ       2. Watch Which teachers should write your letters of recommendation?                           3. Submit to SN counselor top three choices for teacher LOR and two supplemental LOR,Letters of Recommendation,Discuss letters of recommendation choices and compare to requirements based on current list ,,,
,,,Research suggested college list,,,,,
,,,,,,,,
11th Grade. Summer.,10,College Research - Narrowing the List,1. Research suggested college list                    2. Read How to Navigate Demonstrated Interest,Narrow the List,1. Review research on additional schools.      2. Discuss how to narrow the list & including program research.                                             3. Provide an updated list with any additional schools necessary to fill the gaps to balance the list ,1. Research any final schools and begin to narrow the list                                                 2. Watch Finalizing Your List: Part I                3. FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 7,Applying to too many colleges can have adverse effects on both your applications and your sanity. We’ll review your current progress towards creating a balanced and strategically smart final list of colleges.,Finalizing Your List: Part 1. How to Navigate Demonstrated Interest. Podcast Ep. 7
,,,,,,,,
,,Check- in Meeting (ad hoc),,Academic Check-in,Evaluate academic performance and identify any necessary support needed. Evaluation of study skills and determine if any additional support is necessary ,,,Goal Setting Progress Report.
,,,,Activities Update,Discuss new avenues to pursue as needed ,,,
,,,,Revisit Testing Plans,"Revisit testing plans (adjust SAT/ACT timeline depending on scores, Subject Tests if needed, discuss AP exams and necessary prep",,,
,,,,Revisit Summer Plans,"Revisit summer plans (decisions made on any programs, confirm student applied, discuss other local opportunities if there is no summer program) ",,,
,,,,College Visits,Identify college visit opportunities in conjunction with existing family travel plans ,,,
,,,,Status check-in: Goal Setting Progress Report,Counselor to add written updates on student’s progress ,,,
,,,,,,,,
11th Grade. Summer.,11,Essay Brainstorming,FOR STUDENTS:                                              1. Watch Essay Brainstorming                        2. Read this blogpost on the importance of the college essay                                             3. Complete the brainstorming exercises in the Prompt tab                                                4. Block off the remainder of the brainstorming day for writing,Essay brainstorm,Brainstorm and outline perosnal statement,1. Submit your first draft within 24 hours,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for a college essay that is thoughtful, engaging, and even fun to write.",Essay Brainstorming. Blogpost on the importance of the college essay. Letter to Parents on the essay process.
,,,FOR PARENTS:                                                                           1. Read this blogpost on the importance of the college essay                                             2. Review our Letter to Parents on the essay process,,,,,
,,,,,,,,
11th Grade. Summer.,12,Finalize the College List,1. Watch Finalize your List: Part II                   2. Watch Finalizing Letters of Recommendation                                            3. Visit school counselor for college list feedback,Finalize College List,1. Finalize the college list                                2. Conisder EA & ED options                            3. Attend individual college info sessions at high schools for schools on the final list 4. Discuss the Common App and share Common App Guide,"1. Watch Early Decision vs Early Action          2. Once finalized, complete a “Why this school” note in UMS for each school you’d like to be on the final list                           3. Fill in your Common Applications               4. Ask your recommenders for letters             5. FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 8","Together we’ll finalize your college list, review potential application options like “early decision” and “early action,” and make sure you’re set for a smooth and successful path to admission.  ",Common App Guide. Finalize your List: Part II. Finalizing Letters of Recommendation. Early Decision vs Early Action. Podcast Ep. 8
,,,,Portfolios/Auditions,Identify schools that require portfolio/auditions. Refer to Strategist to evaluate additional support needed. ,,,
,,,,,,,,
11th Grade. Summer.,,Senior Season Check-in Meetings (ad hoc),1. Create and fill out Coalition App                  2. Create and fill out UC Application               3. Create and fill out Apply Texas                    4. Create and fill out Cal State                         5. Create and fill out the school-specific application for the school listed,Assign new applications,,1. Work on assigned applications                   2. Watch the tutorial on How to open and start the Coalition application                         3. Watch the tutorial on How to open and start the UC application                                  4. Watch the tutorial on How to open and start the Apply Texas application                    5. Watch the tutorial on How to open and start the Cal State application                        6. Share the Apply Texas Guide,"With strategic decisions complete, our work shifts to managing the application timeline, setting small, achievable goals, and bringing perspective to the process.  ",How to open and start the Coalition application. How to open and start the UC application. How to open and start the Apply Texas application. How to open and start the Cal State application. Apply Texas Guide.
,," These tasks and agenda items should not be tethered together. At this stage, a counselor should be able to add agenda items and to-do items as needed. Also should be noted that a counselor will be need to be able to add some of these more than once. But when they do, it will then become customized. For example, ""Work on x applicaiton"" could turn into ""Work on Coalition application"" and ""Work on UC application""







",1. Watch Supplement Essay: Overview                      2. Watch Supplement Essay: Why this Major?                                                               3. Watch Supplement Essay: Why this School?                                                            4. Watch Supplement Essay: University of California: Personal Insight Questions,Brainstorm supplement essays,Brainstorm and outline supplement essays for the colleges listed,Write the first draft of each essay ,,Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
,,,,Revisit Testing Plans,"Revisit testing plans (adjust SAT/ACT timeline depending on scores, Subject Tests if needed, discuss AP exams and necessary prep",,,
,,,,Transcripts,Confirm which colleges need transcripts and method for sending. ,1. Send transcripts for the schools listed         2. Watch the Tutorial on How to send Transcripts,,Tutorials on how to send transcripts
,,,,Test Scores,Discuss what test scores need to be sent to each school on the list.,1. Send the test scores listed to the schools listed                                                                 2. Watch the Tutorial on How to send test scores,,Tutorial on how to send test scores
,,,,Letters of Recommendatoin,Check in on status of letters of recommendation,1. Confirm letters of recommendation have been sent to all schools                                   2. Read How to Write a Thank You Note Guide                                                                 3. Send thank you notes to your recommenders once the letters are sent,,How to write a thank you note guide.
,,,,ED Plan,Confirm which school student is applying Early Decision,,,
,,,Watch How to Have a Great Interview,Interview Process,"Share out information on interview process. If you would like additional support, we can discuss what that would look like.",Utilize the interview tracking information to track your interviews if needed,,How to have a great interview.
,,,,Submit Applications,1. Walk through how to submit                       2. Submit first application,Submit application for the school listed!,,
,,,,Financial Aid,Share out information on financial aid deadlines. Remind families to submit FAFSA and CSS Profile,,,
,,,,College Visits,Plan any additional fall visits that are necessary,,,
,,,,Demonstrate Interest,Continue demonstrating interest by attending events and engaging with the schools on the final list.,,,
,,,,,,,,
,,Post-Application Check-in Meeting (ad hoc),,,,1. Watch How to decode financial aid award letters                                                                2. Read the Guide to financial aid award letters,,"How to decode financial aid award letters, Guide to financial aid award letters"
,,The vast majority in this section are actually more of to-do items then agenda items and most will be handled vie email. But I want the option for a meeting to be set. For this one can we set all these tasks as connected to this meeting even though there won't be agenda items?,,,,Notify other colleges if admitted ED,,
,,,,,,Write and submit deferral letters,,
,,,,,,Update colleges with new information as needed,,
,,,,,,Send mid-year reporst after first semester is complete,,
,,,,,,Plan any post-application college visits,,
,,,,,,Confirm what AP exams to take and discuss any necessary prep,,
,,,,,,1. Watch Evaluating your College Options     2. Watch We're Disappointed Too                  3. Review college options,,Evaluating your college options. We're disappointed too.
,,,,,,1. Read the Guide the Managing Waitlists    2. Write waitlist letter for the school listed,,Guide the managing waitlists.
,,,,,,1. Watch When you're visiting a college that said YES!                                                           2. Visit any remaining colleges,,When you're visting a college that said YES!
,,,,,,1. Watch How to Choose which College to attend                                                                2. Discuss final college decision,,How to choose which college to attend
,,,,,,1. Watch Time to get some sweatshirts for the family!                                                       2. Notify other colleges of final decision,,Time to get some sweatshirts for the family!
,,,,,,Send final transcript and any final test scores (APs specifically) to the school you will be attending,,
