Year/Semester,Meeting #,Title,Prep Homework,Agenda Item Title,Agenda Item Details,To Do Item,Roadmap One-Line Description,Content
12th Grade. Fall,,Senior Season Check-in Meetings (ad hoc),1.  Fill in your Common Applications               2. Ask your recommenders for letters                       3. Create and fill out Coalition App                  4. Create and fill out UC Application               5. Create and fill out Apply Texas                    6. Create and fill out Cal State                         7. Create and fill out the school-specific application for the school listed                         7. Read Disclosing Learning Differences,Assign new applications,,1. Work on assigned applications                   2. Watch the tutorial on How to open and start the Coalition application                         3. Watch the tutorial on How to open and start the UC application                                  4. Watch the tutorial on How to open and start the Apply Texas application                    5. Watch the tutorial on How to open and start the Cal State application                        6. Share the Apply Texas Guide,"With strategic decisions complete, our work shifts to managing the application timeline, setting small, achievable goals, and bringing perspective to the process.  ",How to open and start the Coalition application. How to open and start the UC application. How to open and start the Apply Texas application. How to open and start the Cal State application. Apply Texas Guide. Disclosing Learning Differences
,," These tasks and agenda items should not be tethered together. At this stage, a counselor should be able to add agenda items and to-do items as needed. Also should be noted that a counselor will be need to be able to add some of these more than once. But when they do, it will then become customized. For example, ""Work on x applicaiton"" could turn into ""Work on Coalition application"" and ""Work on UC application""







",1. Watch Supplement Essay: Overview                      2. Watch Supplement Essay: Why this Major?                                                               3. Watch Supplement Essay: Why this School?                                                            4. Watch Supplement Essay: University of California: Personal Insight Questions,Brainstorm supplement essays,Brainstorm and outline supplement essays for the colleges listed,Write the first draft of each essay ,,Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
,,,,Revisit Testing Plans,"Revisit testing plans (adjust SAT/ACT timeline depending on scores, Subject Tests if needed, discuss AP exams and necessary prep",,,
,,,,Transcripts,Confirm which colleges need transcripts and method for sending. ,1. Send transcripts for the schools listed         2. Watch the Tutorial on How to send Transcripts,,Tutorials on how to send transcripts
,,,,Test Scores,Discuss what test scores need to be sent to each school on the list.,1. Send the test scores listed to the schools listed                                                                 2. Watch the Tutorial on How to send test scores,,Tutorial on how to send test scores
,,,,Letters of Recommendatoin,Check in on status of letters of recommendation,1. Confirm letters of recommendation have been sent to all schools                                   2. Read How to Write a Thank You Note Guide                                                                 3. Send thank you notes to your recommenders once the letters are sent,,How to write a thank you note guide.
,,,,ED Plan,Confirm which school student is applying Early Decision,,,
,,,Watch How to Have a Great Interview,Interview Process,"Share out information on interview process. If you would like additional support, we can discuss what that would look like.",Utilize the interview tracking information to track your interviews if needed,,How to have a great interview.
,,,,Submit Applications,1. Walk through how to submit                       2. Submit first application,Submit application for the school listed!,,
,,,1. Read Merit Scholarships,Financial Aid,Share out information on financial aid deadlines. Remind families to submit FAFSA and CSS Profile,,,Merit Scholarships
,,,,College Visits,Plan any additional fall visits that are necessary,,,
,,,,Demonstrate Interest,Continue demonstrating interest by attending events and engaging with the schools on the final list.,,,
,,,,,,,,
,,Post-Application Check-in Meeting (ad hoc),,,,1. Watch How to decode financial aid award letters                                                                2. Read the Guide to financial aid award letters,,"How to decode financial aid award letters, Guide to financial aid award letters"
,,The vast majority in this section are actually more of to-do items then agenda items and most will be handled vie email. But I want the option for a meeting to be set. For this one can we set all these tasks as connected to this meeting even though there won't be agenda items?,,,,Notify other colleges if admitted ED,,
,,,,,,Write and submit deferral letters,,
,,,,,,Update colleges with new information as needed,,
,,,,,,Send mid-year reporst after first semester is complete,,
,,,,,,Plan any post-application college visits,,
,,,,,,Confirm what AP exams to take and discuss any necessary prep,,
,,,,,,1. Watch Evaluating your College Options     2. Watch We're Disappointed Too                  3. Review college options,,Evaluating your college options. We're disappointed too.
,,,,,,1. Read the Guide the Managing Waitlists    2. Write waitlist letter for the school listed,,Guide the managing waitlists.
,,,,,,1. Watch When you're visiting a college that said YES!                                                           2. Visit any remaining colleges,,When you're visting a college that said YES!
,,,,,,1. Watch How to Choose which College to attend                                                                2. Discuss final college decision,,How to choose which college to attend
,,,,,,1. Watch Time to get some sweatshirts for the family!                                                       2. Notify other colleges of final decision,,Time to get some sweatshirts for the family!
,,,,,,Send final transcript and any final test scores (APs specifically) to the school you will be attending,,
