Class of,College,IPED,Admission Decision,GPA,SAT Single,SAT Super,SAT CR,SAT M,__ SAT W,ACT,Sub Test 1,Sub Test 2,Major,AP/IB/Coll,Honors,App Deadline,Home State,HS Level,Merit Scholarship,URM
2016,Amherst College,164465,Not Accepted,4,,2180,730,680,770,,,,Pre - Law,12,32,,MA,PubA,,
2018,Amherst College,164465,Not Accepted,3.7,,,,,,33,710,,Pre - Med,12,20,,MD,PrivR,,
2019,Amherst College,164465,Accepted  ,4,1590,,720,790,,,,,Biochemistry   ,22,12,,NY,PubA,,checked
2017,Amherst College,164465,Accepted  ,4,,,,,,,,,Biology  ,16,14,,CA,PrivR,,checked
2015,Amherst College,164465,Waitlisted,3.82,2220,2280,760,770,750,,800,800,Biochemistry   ,8,28,,MA, PubR,,
2018,Amherst College,164465,Not Accepted,3.85,,,,,,33,,,Physics,18,4,,CA,PubA,,
2019,Amherst College,164465,Not Accepted,4,,,,,,32,,,,,,,CA, PubR,,
2020,Amherst College,164465,Withdrawn,3.9,1520,1520,750,770,,,740,760,Undecided,,,,NY,PrivR,,checked
2020,Amherst College,164465,Not Accepted,3.7,,,,,,33,,,,0,16,,CA,PubA,,
2020,Amherst College,164465,Not Accepted,4,,1490,720,770,,,780,710,Biology ,12,14,,MA, PubR,,
2020,Amherst College,164465,Accepted  ,3.7,,,,,,34,,,Undecided - Liberal Arts & Sciences,12,4,,CA,PrivR,,
2020,Amherst College,164465,Accepted  ,4,1600,1600,800,800,,,800,800,International Relations,18,32,,,,,
2020,Amherst College,164465,Waitlisted,4,,,,,,35,760,,Biochemistry,10,22,,CT, PubR,,
2018,Angelo State University,222831,Accepted  ,2.92,,1110,580,530,,,,,Theater   ,0,0,,TX,PrivA,"$2,000 ",
2018,Angelo State University,222831,Accepted  ,3.8,,1380,620,760,,,,,Engineering - Architectural,4,18,,TX, PubR,,
2017,Angelo State University,222831,Accepted  ,3.9,,,,,,,,,Undecided,18,4,,TX,PrivR,,
2018,Angelo State University,222831,Accepted  ,3.75,,1180,600,580,,,,,Pre - Med,14,7,,TX, PubR,"$8,000 ",
2020,Angelo State University,222831,Accepted  ,2.25,980,980,470,510,,,,,Nursing - Pre,10,10,,TX,PubA,,
2017,Appalachian State University,197869,Waitlisted,3.6,,1280,610,670,,,,,Computer Science ,2,17,EA  ,NC,PubA,,
2019,Appalachian State University,197869,Accepted  ,3.09,,1120,500,590,,,,,Interior Design,6,22,EA  ,TX, PubR,,
2018,Appalachian State University,197869,Accepted  ,3.96,,1420,700,720,,31,,,Psychology,7,18,EA  ,NC,PubA,,
2019,Appalachian State University,197869,Accepted  ,3.88,,,,,,18,,,Environmental Science  ,2,17,EA  ,NC,PubA,,checked
2018,Appalachian State University,197869,Accepted  ,3.33,,,,,,26,,,Environmental Science  ,,7,,NC,PubA,,
2017,Appalachian State University,197869,Not Accepted,2.42,,,,,,,,,Engineering ,3,14,EA  ,NC,PubA,,
2016,Appalachian State University,197869,Accepted  ,4,,,,,,,,,Kinesiology - Exercise Science,,,EA  ,NC,PrivA,,
2018,Appalachian State University,197869,Accepted  ,3,,1280,640,640,,28,,,Biology  ,16,24,,NC, PubR,,
2017,Appalachian State University,197869,Accepted  ,3.65,,1200,630,570,,,,,Art - Graphic Design,4,16,EA  ,NC,PubA,"$16,000 ",
2017,Appalachian State University,197869,Accepted  ,3.6,,,,,,,700,,Business   ,6,23,EA  ,NC,PubA,,
2019,Appalachian State University,197869,Accepted  ,3,1280,1280,670,610,,,,,Business - Marketing,8,19,EA  ,NC, PubR,,checked
2019,Appalachian State University,197869,Accepted  ,3.67,1150,1180,630,550,,,,,Theater - Education,5,10,EA  ,NC,PubA,,
2019,Appalachian State University,197869,Accepted  ,3.81,1290,1290,620,670,,,,,Business - Undecided,8,16,EA  ,NC, PubR,,
2015,Appalachian State University,197869,Accepted  ,3.84,,,,,,,,,Pre - Med,12,26,,NC, PubR,,
2019,Appalachian State University,197869,Accepted  ,3.82,1540,1540,790,750,,34,,,Undecided,12,12,EA  ,NC, PubR,,
2018,Appalachian State University,197869,Accepted  ,3.67,,1230,640,590,,23,,,Political Science,9,15,EA  ,NC,PubA,,
2017,Appalachian State University,197869,Accepted  ,3.56,,,,,,,,,Nursing,6,12,EA  ,NC,PubA,,
2018,Appalachian State University,197869,Accepted  ,3.9,,,,,,28,,,Art - Studio,6,14,EA  ,NC,PubA,,
2019,Appalachian State University,197869,Accepted  ,3.25,1210,1210,660,550,,27,,,Psychology,6,9,EA  ,NC,PubA,,
2019,Appalachian State University,197869,Accepted  ,4,1460,1460,680,780,,30,,,Communication,9,13,EA  ,NC,PubA,,
2019,Appalachian State University,197869,Not Accepted,1.58,1180,1200,580,620,,,,,Engineering - Mechanical ,14,14,,NC, PubR,,
2017,Appalachian State University,197869,Not Accepted,3,,,,,,,,,Education - Special,0,4,EA  ,MD, PubR,,
2018,Appalachian State University,197869,Accepted  ,3.88,,,,,,30,,,Biology  ,18,16,EA  ,TX, PubR,,
2020,Appalachian State University,197869,Waitlisted,3.13,1180,1190,620,570,,,,,Film - Media Studies,4,13,EA  ,NC, PubR,,
2020,Appalachian State University,197869,Accepted  ,3.88,,,,,,25,,,Biology ,9,14,EA  ,NC,PubA,"$8,000 ",
2020,Appalachian State University,197869,Accepted  ,3.7,,,,,,28,,,Business - Administration,8,8,EA  ,NC,PubA,,
2020,Appalachian State University,197869,Accepted  ,4,1580,1590,760,800,,35,800,790,Neuroscience,32,16,,NC,PubA,,
