Meeting Name,Meeting Key,Meeting Description,Grade,Semester,Agenda Item Key,Agenda Item Title,Dont Create With Roadmap,Agenda Item Counselor Instructions,Meeting Counselor Instructions,Task Key,Task Name,Task Description,Task Type,Task User Type,Form,Repeats,Content
Academics & Course Selection,comprehensive_10_2-academics-course-selection-10-2,We’ll use this meeting to thoughtfully choose courses that maximize your last two years of high school and show colleges your academic potential.,10,2,comprehensive_10_2-course-planning,Course Planning,,1. Review course plan and any changes. Do these fit the end goals?                                  2. Set 11th grade courses.                                  3. Review the difference between courses required for graduation and those required for college admissions (and NCAA if relevant) ,,"comprehensive-10-2 If not completed already, build an 11th-12th course plan under the Course Planning tab in the Academic section. Make adjustments if needed.","If not completed already, build an 11th-12th course plan under the Course Planning tab in the Academic section. Make adjustments if needed.",,pre,student,,,How to become your favorite teacher's favorite student. How to work with your school counselor. Podcast Ep 3. Goal Setting Progress Report.
Academics & Course Selection,comprehensive_10_2-academics-course-selection-10-2,We’ll use this meeting to thoughtfully choose courses that maximize your last two years of high school and show colleges your academic potential.,10,2,comprehensive_10_2-course-planning,Course Planning,,1. Review course plan and any changes. Do these fit the end goals?                                  2. Set 11th grade courses.                                  3. Review the difference between courses required for graduation and those required for college admissions (and NCAA if relevant) ,,"comprehensive-10-2 Next meeting, we’ll be doing an academic inventory. We’ll talk about your favorite class/teachers, strengths, struggles, level of interest in certain subjects, best/worst academic moments and what you learned from it, etc. If it would help to take notes beforehand, you can do so here. (have empty text box to enter notes)","Next meeting, we’ll be doing an academic inventory. We’ll talk about your favorite class/teachers, strengths, struggles, level of interest in certain subjects, best/worst academic moments and what you learned from it, etc. If it would help to take notes beforehand, you can do so here. (have empty text box to enter notes)",,pre,student,,,How to become your favorite teacher's favorite student. How to work with your school counselor. Podcast Ep 3. Goal Setting Progress Report.
Academics & Course Selection,comprehensive_10_2-academics-course-selection-10-2,We’ll use this meeting to thoughtfully choose courses that maximize your last two years of high school and show colleges your academic potential.,10,2,comprehensive_10_2-course-planning,Course Planning,,1. Review course plan and any changes. Do these fit the end goals?                                  2. Set 11th grade courses.                                  3. Review the difference between courses required for graduation and those required for college admissions (and NCAA if relevant) ,,"comprehensive-10-2 Writing Assignment: If you could learn about anything at great depth at this very moment, what would it be and why?","Writing Assignment: If you could learn about anything at great depth at this very moment, what would it be and why?",,pre,student,,,How to become your favorite teacher's favorite student. How to work with your school counselor. Podcast Ep 3. Goal Setting Progress Report.
Academics & Course Selection,comprehensive_10_2-academics-course-selection-10-2,We’ll use this meeting to thoughtfully choose courses that maximize your last two years of high school and show colleges your academic potential.,10,2,comprehensive_10_2-course-planning,Course Planning,,1. Review course plan and any changes. Do these fit the end goals?                                  2. Set 11th grade courses.                                  3. Review the difference between courses required for graduation and those required for college admissions (and NCAA if relevant) ,,comprehensive-10-2 Optional - Listen to Get Wise Podcast. Episode 3,Optional - Listen to Get Wise Podcast. Episode 3,,post,parent,,,How to become your favorite teacher's favorite student. How to work with your school counselor. Podcast Ep 3. Goal Setting Progress Report.
Academics & Course Selection,comprehensive_10_2-academics-course-selection-10-2,,10,2,comprehensive_10_2-school-engagement,School Engagement,,1. Discuss the importance of classroom engagement. Pick 1-2 classes to set a goal for second semester to increase participation.                                                   2. Discuss the importance of intellectual engagement outside of the classroom           3. Discuss ways the student learns and learns best.                                                                 4. Discuss how to express gratitude to 1-2 favorite teachers.                                            5. Establish foundational relationship with school counselor ,,comprehensive-10-2 Watch How to become your favorite teacher’s favorite student,Watch How to become your favorite teacher’s favorite student,,pre,student,,,
Academics & Course Selection,comprehensive_10_2-academics-course-selection-10-2,,10,2,comprehensive_10_2-school-engagement,School Engagement,,1. Discuss the importance of classroom engagement. Pick 1-2 classes to set a goal for second semester to increase participation.                                                   2. Discuss the importance of intellectual engagement outside of the classroom           3. Discuss ways the student learns and learns best.                                                                 4. Discuss how to express gratitude to 1-2 favorite teachers.                                            5. Establish foundational relationship with school counselor ,,comprehensive-10-2 Watch How to work with your school counselor,Watch How to work with your school counselor,,pre,student,,,
Academics & Course Selection,comprehensive_10_2-academics-course-selection-10-2,,10,2,comprehensive_10_2-status-check-in-goal-setting-progress-report,Status check-in: Goal Setting Progress Report,,Counselor to add written updates on student’s progress ,,,,,,,,,
Testing,comprehensive_10_2-testing-to-be-held-with-cas-team-member-and-counselor-10-3,"Your counselor and one of our testing experts will work with you to fine-tune your standardized testing plan and make sure you’re well prepared for tests like the SAT, ACT, and AP exams.  ",10,3,comprehensive_10_2-plan-testing-timeline-support,Plan Testing Timeline & Support,,"1. Review any test scores and diagnostics. Strategize on SAT/ACT test preference. Create a testing plan including recommendation of package/hours/service delivery format to meet student’s needs.      2. Discuss AP exams - determine AP exam preparation plan                                             4. Share any of these guides as needed: Guide to ACT, Guide to the PSAT, Guide to SAT as needed ",(To be held with CAS team member and counselor),comprehensive-10-2 Complete assigned diagnostics,Complete assigned diagnostics,,pre,student,,,Overview of Testing. To Test or Not to Test. Testing FAQ. Guide to ACT. Guide to the PSAT. Guide to the SAT.
Testing,comprehensive_10_2-testing-to-be-held-with-cas-team-member-and-counselor-10-3,,10,3,comprehensive_10_2-provide-testing-overview,Provide Testing Overview,,"Review the role of testing in the admissions process (there should be an emphasis on that while testing can’t get you in, it can keep you out at many HSCs). ",(To be held with CAS team member and counselor),comprehensive-10-2 Watch Overview of Testing,Watch Overview of Testing,,pre,student,,,
Testing,comprehensive_10_2-testing-to-be-held-with-cas-team-member-and-counselor-10-3,,10,3,comprehensive_10_2-provide-testing-overview,Provide Testing Overview,,"Review the role of testing in the admissions process (there should be an emphasis on that while testing can’t get you in, it can keep you out at many HSCs). ",(To be held with CAS team member and counselor),comprehensive-10-2 Read the Testing FAQ,Read the Testing FAQ,,pre,student,,,
Testing,comprehensive_10_2-testing-to-be-held-with-cas-team-member-and-counselor-10-3,,10,3,comprehensive_10_2-provide-testing-overview,Provide Testing Overview,,"Review the role of testing in the admissions process (there should be an emphasis on that while testing can’t get you in, it can keep you out at many HSCs). ",(To be held with CAS team member and counselor),comprehensive-10-2 Watch To Test or Not to Test,Watch To Test or Not to Test,,pre,student,,,
Testing,comprehensive_10_2-testing-to-be-held-with-cas-team-member-and-counselor-10-3,,10,3,comprehensive_10_2-provide-testing-overview,Provide Testing Overview,,"Review the role of testing in the admissions process (there should be an emphasis on that while testing can’t get you in, it can keep you out at many HSCs). ",(To be held with CAS team member and counselor),"comprehensive-10-2 Writing Assignment: In the past year, which movie, play, book, song, or any other piece of artistic or cultural expression has impacted you most and how?","Writing Assignment: In the past year, which movie, play, book, song, or any other piece of artistic or cultural expression has impacted you most and how?",,pre,student,,,
Activity Assessment & Planning,comprehensive_10_2-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,comprehensive_10_2-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,comprehensive-10-2 Watch The College Planning Opportunity Many Juniors Miss,Watch The College Planning Opportunity Many Juniors Miss,,pre,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 4
Activity Assessment & Planning,comprehensive_10_2-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,comprehensive_10_2-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,comprehensive-10-2 FOR STUDENTS: Watch The College Planning Opportunity Many Juniors Miss,FOR STUDENTS: Watch The College Planning Opportunity Many Juniors Miss,,pre,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 4
Activity Assessment & Planning,comprehensive_10_2-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,comprehensive_10_2-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,comprehensive-10-2 Fill out the Activity section in UMS,Fill out the Activity section in UMS,,pre,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 4
Activity Assessment & Planning,comprehensive_10_2-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,comprehensive_10_2-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,comprehensive-10-2 Watch How Colleges Really Evaluate Your Activities,Watch How Colleges Really Evaluate Your Activities,,pre,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 4
Activity Assessment & Planning,comprehensive_10_2-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,comprehensive_10_2-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,comprehensive-10-2 Write a short essay about an activity that has impacted you,Write a short essay about an activity that has impacted you,,pre,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 4
Activity Assessment & Planning,comprehensive_10_2-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,comprehensive_10_2-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,comprehensive-10-2 Optional - Listen to Get Wise Podcast. Episode 4,Optional - Listen to Get Wise Podcast. Episode 4,,post,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 4
Activity Assessment & Planning,comprehensive_10_2-activity-assessment-planning-11-1,,11,1,comprehensive_10_2-academic-check-in,Academic Check-in,,Evaluate academic performance and identify any necessary support needed. Evaluation of study skills and determine if any additional support is necessary ,,comprehensive-10-2 Schedule any necessary diagnostics prior to Testing meeting,Schedule any necessary diagnostics prior to Testing meeting,,pre,student,,,
Activity Assessment & Planning,comprehensive_10_2-activity-assessment-planning-11-1,,11,1,comprehensive_10_2-goal-setting-progress-report,Goal Setting Progress Report,,Fill out goals in the Goal Setting Progress Report. Set benchmark dates to check in on progress ,,,,,,,,,
Introduction to College Research,comprehensive_10_2-introduction-to-college-research-11-1,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,11,1,comprehensive_10_2-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,comprehensive-10-2 Watch Overview of Colleges,Watch Overview of Colleges,,pre,parent,,,"Overview of Colleges. What do you want in a college? College fairs, rep visits, and other college search resources. Parent College Questionnaire. Podcast Ep. 5"
Introduction to College Research,comprehensive_10_2-introduction-to-college-research-11-1,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,11,1,comprehensive_10_2-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,comprehensive-10-2 Watch What do You Want in a College?,Watch What do You Want in a College?,,pre,parent,,,"Overview of Colleges. What do you want in a college? College fairs, rep visits, and other college search resources. Parent College Questionnaire. Podcast Ep. 5"
Introduction to College Research,comprehensive_10_2-introduction-to-college-research-11-1,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,11,1,comprehensive_10_2-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,comprehensive-10-2 Fill out College Questionnaire,Fill out College Questionnaire,,pre,parent,Parent College Search Questionnaire,,"Overview of Colleges. What do you want in a college? College fairs, rep visits, and other college search resources. Parent College Questionnaire. Podcast Ep. 5"
Introduction to College Research,comprehensive_10_2-introduction-to-college-research-11-1,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,11,1,comprehensive_10_2-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,comprehensive-10-2 Optional - Listen to Get Wise Podcast. Episode 5,Optional - Listen to Get Wise Podcast. Episode 5,,post,parent,,,"Overview of Colleges. What do you want in a college? College fairs, rep visits, and other college search resources. Parent College Questionnaire. Podcast Ep. 5"
Introduction to College Research,comprehensive_10_2-introduction-to-college-research-11-1,,11,1,comprehensive_10_2-utilizing-school-local-resources-for-research,Utilizing school & local resources for research,,"Discuss utilizing school & local resources for research (school counselor, college rep visits, local college fairs, etc) ",,"comprehensive-10-2 Watch College fairs, rep visits, and other college search resources","Watch College fairs, rep visits, and other college search resources",,pre,student,,,
Introduction to College Research,comprehensive_10_2-introduction-to-college-research-11-1,,11,1,comprehensive_10_2-summer-planning,Summer Planning,,Follow-up conversation re: summer planning.,,,,,,,,,
Summer Planning (Summer before 12th),comprehensive_10_2-summer-planning-summer-before-12th-11-1,"We’ll revisit your previous summer, discuss how you might like to spend your break from school, and help you plan a summer that’s productive and enjoyable.   ",11,1,comprehensive_10_2-summer-planning,Summer Planning,,Summer Planning. Ask them to assess last summer – was it fun? What was the highlight? ,,"comprehensive-10-2 If you haven’t read it yet, read the Summer Planning Guide","If you haven’t read it yet, read the Summer Planning Guide",,pre,student,,,"Summer Planning Guide. College fairs, rep visits, and other college search resources. College Visits Overview"
Summer Planning (Summer before 12th),comprehensive_10_2-summer-planning-summer-before-12th-11-1,"We’ll revisit your previous summer, discuss how you might like to spend your break from school, and help you plan a summer that’s productive and enjoyable.   ",11,1,comprehensive_10_2-summer-planning,Summer Planning,,Summer Planning. Ask them to assess last summer – was it fun? What was the highlight? ,,"comprehensive-10-2 Writing Assignment: if you were given a week to do whatever you wanted (consider money no object), what would you do?","Writing Assignment: if you were given a week to do whatever you wanted (consider money no object), what would you do?",,pre,student,,,"Summer Planning Guide. College fairs, rep visits, and other college search resources. College Visits Overview"
Summer Planning (Summer before 12th),comprehensive_10_2-summer-planning-summer-before-12th-11-1,,11,1,comprehensive_10_2-summer-planning-stem-fine-arts,Summer Planning - STEM & Fine Arts,,"If this is a STEM or fine arts student, this should be a more pointed conversation about how to build hands-on experience and/or contribute to a portfolio. ",,,,,,,,,
Summer Planning (Summer before 12th),comprehensive_10_2-summer-planning-summer-before-12th-11-1,,11,1,comprehensive_10_2-summer-research,Summer Research,,1. Assign ideas to research                             2. See if they'd be open to reading 1-2 books for fun. Talk through potential ideas.,,,,,,,,,
Summer Planning (Summer before 12th),comprehensive_10_2-summer-planning-summer-before-12th-11-1,,11,1,comprehensive_10_2-summer-programs,Summer Programs,,Share a few specific programs with families that would be a good match for the student. ,,,,,,,,,
Summer Planning (Summer before 12th),comprehensive_10_2-summer-planning-summer-before-12th-11-1,,11,1,comprehensive_10_2-college-fairs-college-visits,College Fairs & College Visits,,Discuss attending college fairs and opportunities to visit colleges in conjunction with family travel plans ,,"comprehensive-10-2 Watch College fairs, rep visits, and other college search resources","Watch College fairs, rep visits, and other college search resources",,pre,student,,,
Summer Planning (Summer before 12th),comprehensive_10_2-summer-planning-summer-before-12th-11-1,,11,1,comprehensive_10_2-college-fairs-college-visits,College Fairs & College Visits,,Discuss attending college fairs and opportunities to visit colleges in conjunction with family travel plans ,,comprehensive-10-2 Watch College Visits Overview,Watch College Visits Overview,,pre,student,,,
Summer Planning (Summer before 12th),comprehensive_10_2-summer-planning-summer-before-12th-11-1,,11,1,comprehensive_10_2-diagnostics,Diagnostics?,,"Register student for any diagnostics that need to be taken (SAT, ACT or both) ",,,,,,,,,
Summer Planning (Summer before 12th),comprehensive_10_2-summer-planning-summer-before-12th-11-1,,11,1,comprehensive_10_2-academic-check-in,Academic Check-in,,Evaluate academic performance and identify any necessary support needed. Evaluation of study skills and determine if any additional support is necessary ,,,,,,,,,
College Research Round Two & Major Discussion,comprehensive_10_2-college-research-round-two-major-discussion-11-1,"Based on your feedback, your counselor will help you refine your college list and consider potential academic plans in college (even if you don’t yet know what you want to study).",11,1,comprehensive_10_2-review-initial-research,Review Initial Research,,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,comprehensive-10-2 Research suggested college list,Research suggested college list,,pre,student,,,Highly Selected Colleges. Building a balanced college list. Academic opportunities in college. 
College Research Round Two & Major Discussion,comprehensive_10_2-college-research-round-two-major-discussion-11-1,"Based on your feedback, your counselor will help you refine your college list and consider potential academic plans in college (even if you don’t yet know what you want to study).",11,1,comprehensive_10_2-review-initial-research,Review Initial Research,,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,comprehensive-10-2 Watch Highly Selected Colleges,Watch Highly Selected Colleges,,pre,student,,,Highly Selected Colleges. Building a balanced college list. Academic opportunities in college. 
College Research Round Two & Major Discussion,comprehensive_10_2-college-research-round-two-major-discussion-11-1,"Based on your feedback, your counselor will help you refine your college list and consider potential academic plans in college (even if you don’t yet know what you want to study).",11,1,comprehensive_10_2-review-initial-research,Review Initial Research,,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,comprehensive-10-2 Watch Building a Balanced College List,Watch Building a Balanced College List,,pre,student,,,Highly Selected Colleges. Building a balanced college list. Academic opportunities in college. 
College Research Round Two & Major Discussion,comprehensive_10_2-college-research-round-two-major-discussion-11-1,,11,1,comprehensive_10_2-discuss-majors,Discuss Majors,,"Begin to discuss potential major choices, assign majors to research ",,comprehensive-10-2 Watch Academic Opportunities in College,Watch Academic Opportunities in College,,pre,student,,,
College Research Round Two & Major Discussion,comprehensive_10_2-college-research-round-two-major-discussion-11-1,,11,1,comprehensive_10_2-college-cost-financial-aid-eligibilty,College Cost & Financial Aid Eligibilty,,Share resources with family re: college cost and financial aid eligibility to allow them to evaluate on their own ,,,,,,,,,
Major Research & Course Selection,comprehensive_10_2-major-research-course-selection-11-2,"Your counselor will review your list of colleges, discuss your current academic interests, and recommend a 12th grade course schedule that will best help you reach your goals.  ",11,2,comprehensive_10_2-review-research,Review Research,,Review research. Continue to weave in major conversation as student completes research ,,comprehensive-10-2 Research suggested college list,Research suggested college list,,pre,student,,,Podcast Ep. 6
Major Research & Course Selection,comprehensive_10_2-major-research-course-selection-11-2,"Your counselor will review your list of colleges, discuss your current academic interests, and recommend a 12th grade course schedule that will best help you reach your goals.  ",11,2,comprehensive_10_2-review-research,Review Research,,Review research. Continue to weave in major conversation as student completes research ,,comprehensive-10-2 Research & review major research,Research & review major research,,pre,student,,,Podcast Ep. 6
